idembarcaciones,nombre,tipo,marca,modelo,eslora,manga,puntal,motores,serie_motores,num_matricula,fecha_ingreso,contrato,contrato_fecha,contrato_path,reglamento,reglamento_path,matricula,matricula_path,seguro,seguro_fecha,seguro_path,baja,baja_fecha
106,JAVI - FLOR,M2,SANTANA,41,12.35,4.18,2.1,CUMMINS,EB 45834566 / BB45831521,REY032989,2018-06-01,1,2018-05-23,,,,0,,0,2019-04-01,,1,2020-12-31
107,LB,MO,YAMAHA,XL1200,3.1,1.3,0.4,YAMAHA,YAMA3051K798,OLIV02143,2015-08-01,1,2015-08-07,,,,1,,0,2016-02-28,,0,
108,VIKINGO2,M2,HUNTER,32,10.75,,,,,REY 041196,2018-05-01,1,2018-05-19,,,,0,,0,,,1,2019-12-20
109,ENERGY,G,SEA RAY,175,5.33,2.13,1.1,MERCRUISER 3.0MPI 135hp,1A608466,REY 054897,,0,,,,,0,,0,,,1,2020-11-30
110,PETARDO,G,BERMUDA,,5.12,2.16,0.87,EVINRUDE 115HP,,REY 029835,2018-05-01,1,2018-04-25,,,,1,,0,2019-04-24,,0,
111,CONCEPCION II,M2,EGEO,55,16.76,4.08,2.74,IVECO,965721 / 948967,REY 065455,,0,,,,,1,,0,2018-09-03,,0,
112,MORE NEWS,M2,ALTAMAR,52,16.12,4.5,2.2,VOLVO PENTA,2006040191 / 2006040192,REY 056730,,0,,,,,0,,0,2012-09-07,,1,2020-08-31
113,BRUT NATURE,G,BERMUDA,,5.2,2.1,0.93,EVINRUDE 115HP,5333078,REY 060813,2014-04-01,1,2014-04-16,,,,1,,0,,,0,
114,HABIBI,M2,SEGUE,55,16.7,4.64,3,CATERPILAR,NFL01570 / NFL01754,REY 067180,2017-05-01,1,2017-04-22,,,,1,,0,2019-04-28,,0,
115,POMMERY,G,REGNICOLI,,5.43,2.18,0.92,MERCURY 200HP,DEUDOR,REY 021234,,0,,,,,1,,0,,,0,
116,ATLANTIS,M3,AVALON,,26,,,,,REY 063413,2015-03-01,1,2015-02-21,,,,0,,0,,,0,
117,GREEN EYES,M3,SEGUE,72,21,5.25,2.8,CATERPILAR,,REY 062325,2018-08-01,1,2018-08-17,,,,0,,0,,,1,2020-09-30
118,SIBLING,G,CONCEP,1900,5.63,2.15,1,MERCRUISER 135HP,1A021745,REY 049220,2018-05-01,1,2018-05-19,,,,1,,0,2018-08-27,,0,
119,NEIKE,G,CANESTRARI,215,6.13,2.6,1.45,MERCRUISER 4.3 190HP,0M691151,REY 037976,2018-03-01,1,2018-03-05,,,,0,,0,,,1,2020-02-29
120,MIAMI,MO,KAWASAKI,,3.37,1.19,0.37,KAWASAKI 300HP,JTT50HE007495,TIGR04266,2020-03-01,1,2020-03-01,,,,0,,0,,,0,
121,TENAZ,M3,PREVEZA,70,20.4,4.86,2.83,MAN,640-2686-8052677 / 640-2686-8102677,REY 059804,2017-02-01,1,2017-01-25,,,,1,,0,2017-12-07,,0,
122,BELU,MO,SEA DOO,RXP X RS 260,3.53,1.23,0.4,ROTAX,M7493674,OLIV03070,2014-08-01,1,2014-08-06,,,,1,,0,2015-04-11,,0,
123,KARISSA,G,GENESIS,2150,6.62,2.3,1.09,VOLVO PENTAQ 225 V6,A224167,REY 069350,2014-08-01,1,2014-08-06,,,,0,,0,2016-04-24,,0,
124,CELTA,M2,STATESMAN,36,11.2,3.71,0.9,VOLVO PENTA,2204211190 / 2204210455,REY 027923,2018-05-01,1,2018-05-09,,,,0,,0,2018-09-02,,1,2020-03-31
125,LEON,M2,GENESIS,380,11.46,3.75,2.2,VOLVO PENTA D6-300,,REY E/T 069655,2014-06-01,1,2014-06-01,,,,0,,0,2015-03-21,,1,2021-02-28
126,BARCO GADEA,M2,GENESIS,DEL MAR II,14.2,4.15,2.5,,,REY E/T,2021-03-01,1,2021-03-01,,,,0,,0,,,0,
127,MOTO - ARCE,MO,SEA DOO,GTI SE4-TEC,3.23,1.25,1.17,ROTAX,M6906706,MATRICULA E/T,2014-09-01,1,2014-09-18,,,,0,,0,,,0,
128,CATALINA,MO,SEA DOO,RXT,3.58,1.37,0.55,ROTAX 260HP,M7461553,OLIVO 02646,2015-02-01,1,2015-01-21,,,,1,,0,,,0,
129,ELISEO,M1,CUSTOM,SPECIAL,9.14,2.85,1.43,"MERCRUISER 4,5L 250HP",2A502990,REY 078528,2016-11-01,1,2016-10-31,,,,0,,0,,,0,
130,BALTAZAR,M1,KLASE A,32,9.8,3.09,1.83,VOLVO PENTA,A347858,REY 071988,2016-09-01,1,2016-09-14,,,,0,,0,2017-09-13,,0,
131,NAPOLEON,M2,KLASE A,42,12.94,3.85,2.33,IVECO,1215665 / 1225656,REY 074922,2018-05-01,1,2018-05-09,,,,0,,0,2018-10-27,,1,2020-02-28
132,DISFRUTAR,M1,BAYLINER,35,9.8,3.3,2.2,MERCRUISER,2A311357 / 2A313017,REY 082480,2019-11-01,1,2019-10-30,,,,0,,0,,,0,
